ind1,ind2,time,uds_ind1_low,uds_ind1_mean,uds_ind1_high,uds_ind2_low,uds_ind2_mean,uds_ind2_high
Ada,Chandler,2022-08-18T02:00:27Z,0.6190543331174057,0.9524667587409636,1,0.47743950749246644,0.8066510564919424,0.9912869363380153
Amelie,Caleb,2020-05-29 14:00:22,0.5804970724214195,0.9103944449846678,0.9999922482066983,0.7420699696458221,0.9745583743524117,1
Amelie,Willow,2021-07-30T18:00:00Z,0.16736998156416208,0.35710572898310033,0.619381265706131,0.2330092200388637,0.8747764256702704,1
Bailey,Sam,2018-06-13 12:00:00,0.95586787164541,0.9960646958868611,1,0.3515276421803352,0.7082114655012337,0.9718335233509362
Basil,Kenny,2017-11-17 6:00:00,0.638561418182071,0.8356801025887921,0.9677600229390733,0.25803277809251546,0.8883525543798959,1
Brittney,Casey,2018-08-16 0:00:00,0.7237220877148133,0.9500633287280873,0.9999994051561264,0.9293139622836404,0.9746426181212202,0.997198899493527
Brittney,Sue,2018-09-18T00:01:00Z,0.5662198987024497,0.8248354974074711,0.9821373540084519,0.270847343888342,0.4952502958686415,0.7522274273342775
Bubbles,Gums,2019-09-26T02:00:00Z,0.8927601241423053,0.985090248103019,0.999999999510308,0.2545252940819333,0.7102021959033293,0.9954735460607773
Bubbles,Kim,2021-10-06T07:00:21Z,0.7027668772458127,0.945523606418073,0.9999993085025272,0.25420892462922734,0.9623382969593464,1
Bubbles,Kim,2022-07-19 11:00:37,0.8548528097695248,0.9727415459810138,0.9999965445220006,0.7867952131787287,0.9763363576951801,1
Bubbles,Patty,2022-05-11T21:00:44Z,0.57656660746642,0.9172945180744101,0.9999992358343809,0.4953026189198957,0.9307191672020481,1
Caleb,Cali,2019-10-07T20:00:00Z,0.8294653720589678,0.9961086131978267,1,0.24947996882887907,0.6967467365584864,0.9933328170034739
Caleb,Willow,2020-09-13 22:00:00,0.40324881152845915,0.8973090130548783,0.9999999999803232,0.4323363490364066,0.8266487901504758,0.9990174571936145
Cali,Kramer,2018-10-16 6:00:00,0.48820255112462296,0.8098841597056864,0.9907938103910308,0.9433396711822105,0.9994895002316241,1
Chandler,Esme,2020-10-03 6:00:00,0.44936141238269295,0.8503565255414957,0.9997943470873616,0.32784045040255466,0.7827503956151984,0.9991288752206734
Chandler,Esme,2021-08-24 20:01:00,0.3099479398756585,0.571109811843082,0.8413415874796543,0.7733634501706199,0.917856153357127,0.9925567658408132
Chandler,Gums,2018-10-18T06:00:00Z,0.7998212673237128,0.9967832185399378,1,0.18889816395682896,0.502181527779451,0.869421375756783
Chandler,Monica,2018-10-18T06:00:00Z,0.4345800717414712,0.9601243741894064,1,0.5889823804049079,0.8077290241516972,0.9607552904878561
Chandler,Olson,2018-10-19T06:00:00Z,0.3575681470079708,0.9212234438350152,1,0.8315648255454973,0.9804539036861455,0.9999999999999988
Chandler,Rachel,2021-06-05 2:00:38,0.8039314118922907,0.9852543114541136,1,0.787477267820482,0.9762910998858553,1
Chandler,Stu,2020-10-03T06:00:00Z,0.2850200648046245,0.7937563719159282,0.9999356420517189,0.1451049621689185,0.6741015022406072,0.9994395348619216
Dan,Esme,2021-10-17 11:00:38,0.2889212355927448,0.8866420396659558,1,0.6979092712359153,0.8401392945721577,0.9460607977531187
Dan,EVGF84,2022-06-06T09:00:33Z,0.2551219067475687,0.6532015964462864,0.9740873245654109,0.2907176956118181,0.546120474747282,0.8205002291759216
Esme,Stu,2022-06-15 21:00:36,0.6267941635059352,0.7545410812316228,0.8670630679702034,0.741559556514467,0.9591371739659441,0.9999999896495886
Gums,Monica,2019-09-26T00:00:00Z,0.16715626129463845,0.3685182319352725,0.6464289136679736,0.521153658190832,0.645734614812644,0.7669585595077817
Gums,Monica,2018-10-19 0:00:00,0.2594429233562638,0.6745396232001442,0.9836785234117429,0.8478607760506974,0.9588704695044923,0.9993536007228941
Gums,Olson,2018-10-19T06:00:00Z,0.11343603724122407,0.22123427836207868,0.3822509920770146,0.6785003714643543,0.8255185665914474,0.9378360500752517
Gums,Russ,2018-06-02 12:00:00,0.13478146902491225,0.6080951217494887,0.9938495314010941,0.0747519791646121,0.602646187898385,0.9996268776937032
Jerry,Monica,2018-10-15T18:00:00Z,0.27356588703693185,0.8869452718414572,1,0.6945554047947053,0.8454630636946725,0.9541579983724819
Jerry,Olson,2018-10-17 6:00:00,0.4614763308675921,0.8582342072124401,0.9998642904070326,0.6039883302735811,0.7533145574106033,0.8820700506518779
Laura,Olson,2017-05-25 6:00:00,0.5395532108963542,0.9778891737485613,1,0.7395397639560054,0.9583575281926181,0.9999999848474821
Monica,Olson,2018-10-18T18:00:00Z,0.6925652246399767,0.8669994408627202,0.9767949966482375,0.7855844326183552,0.9541458948135753,0.9999674180730228
Olson,Trish,2018-06-20 0:00:00,0.23135497800790794,0.6174409443382739,0.9612052279022554,0.9318563198878569,0.9977106948569978,1
Phoebe,Trish,2017-10-11T00:00:00Z,0.657281319406806,0.9010018893719816,0.9986977890340204,0.7709728797383641,0.9530121309114338,0.9999852369349832
Polly,Tim,2020-11-04T01:00:00Z,0.49800503302657084,0.9248303957149994,0.9999999999997752,0.8132998784487241,0.9870477731582535,1
